,Original_String,New_Number
0,hover__HEADING,1
1,multiclick__HEADING,2
2,select__SELECTION,3
3,scroll__LISTING,4
4,contextmenu__SPAN,5
5,multiscroll__SECTION,6
6,multihover__SELECTION,7
7,press__INPUT,8
8,scroll__TEXT,9
9,multihover__LISTING,10
10,hover__SELECTION,11
11,press__SELECTION,12
12,hover__SPAN,13
13,change__INPUT,14
14,multipress__BUTTON,15
15,dblclick__TEXT,16
16,scroll__HEADING,17
17,multiclick__SECTION,18
18,hover__LABEL,19
19,select__INPUT,20
20,hover__GRAPHIC,21
21,scroll__DIV,22
22,multihover__SECTION,23
23,multipress__BASIC,24
24,multiclick__TEXT,25
25,multiclick__LABEL,26
26,press__SPAN,27
27,multihover__BASIC,28
28,multiclick__BUTTON,29
29,contextmenu__TEXT,30
30,click__KBD,31
31,hover__KBD,32
32,multiscroll__DIV,33
33,select__BASIC,34
34,multiclick__BASIC,35
35,multihover__GRAPHIC,36
36,click__TEXT,37
37,click__SPAN,38
38,hover__BASIC,39
39,scroll__GRAPHIC,40
40,multiclick__SPAN,41
41,click__TABLE,42
42,multiscroll__SPAN,43
43,multihover__TEXT,44
44,multihover__TABLE,45
45,multiscroll__SELECTION,46
46,click__BASIC,47
47,press__DIV,48
48,change__SELECTION,49
49,dblclick__HEADING,50
50,multihover__SPAN,51
51,click__SECTION,52
52,hover__SECTION,53
53,multiscroll__GRAPHIC,54
54,multiclick__TABLE,55
55,hover__BUTTON,56
56,click__GRAPHIC,57
57,scroll__BASIC,58
58,hover__LISTING,59
59,click__SELECTION,60
60,scroll__LABEL,61
61,scroll__INPUT,62
62,multihover__LABEL,63
63,click__HEADING,64
64,multihover__DIV,65
65,click__BUTTON,66
66,select__DIV,67
67,multipress__INPUT,68
68,multihover__INPUT,69
69,dblclick__DIV,70
70,click__INPUT,71
71,press__BUTTON,72
72,multihover__BUTTON,73
73,hover__TABLE,74
74,multiscroll__TABLE,75
75,contextmenu__GRAPHIC,76
76,select__KBD,77
77,hover__TEXT,78
78,multiscroll__INPUT,79
79,scroll__SECTION,80
80,dblclick__SECTION,81
81,click__LABEL,82
82,multiscroll__BASIC,83
83,select__HEADING,84
84,multiclick__KBD,85
85,multiclick__INPUT,86
86,scroll__KBD,87
87,select__GRAPHIC,88
88,multiscroll__TEXT,89
89,select__TEXT,90
90,multihover__KBD,91
91,multiclick__GRAPHIC,92
92,multiclick__DIV,93
93,select__LABEL,94
94,press__BASIC,95
95,multihover__HEADING,96
96,multipress__SPAN,97
97,multiscroll__HEADING,98
98,click__DIV,99
99,select__SECTION,100
100,dblclick__INPUT,101
101,dblclick__GRAPHIC,102
102,hover__INPUT,103
103,scroll__BUTTON,104
104,multiscroll__BUTTON,105
105,scroll__SELECTION,106
106,hover__DIV,107
107,multiclick__SELECTION,108
108,select__TABLE,109
109,scroll__SPAN,110
110,dblclick__TABLE,111
111,scroll__TABLE,112
112,select__SPAN,113
