,Original_String,New_Number
0,hover__TABLE,1
1,scroll__DIV,2
2,scroll__TEXT,3
3,multihover__BASIC,4
4,contextmenu__GRAPHIC,5
5,multihover__HEADING,6
6,multiclick__INPUT,7
7,select__HEADING,8
8,change__SELECTION,9
9,multiclick__SECTION,10
10,scroll__SELECTION,11
11,multihover__BUTTON,12
12,dblclick__HEADING,13
13,hover__KBD,14
14,hover__SPAN,15
15,multihover__SPAN,16
16,hover__TEXT,17
17,scroll__KBD,18
18,contextmenu__SPAN,19
19,click__HEADING,20
20,dblclick__SECTION,21
21,multiscroll__DIV,22
22,press__DIV,23
23,multiclick__KBD,24
24,multiclick__DIV,25
25,multiclick__HEADING,26
26,scroll__INPUT,27
27,multiclick__SELECTION,28
28,multiclick__SPAN,29
29,click__SPAN,30
30,multiscroll__BUTTON,31
31,click__INPUT,32
32,multiscroll__SPAN,33
33,multiclick__LABEL,34
34,hover__LABEL,35
35,select__DIV,36
36,hover__SECTION,37
37,press__INPUT,38
38,select__INPUT,39
39,multihover__TEXT,40
40,press__SPAN,41
41,hover__DIV,42
42,click__SECTION,43
43,hover__SELECTION,44
44,multihover__TABLE,45
45,dblclick__TABLE,46
46,multihover__SECTION,47
47,scroll__SPAN,48
48,hover__INPUT,49
49,multiscroll__TABLE,50
50,multihover__KBD,51
51,scroll__TABLE,52
52,press__BUTTON,53
53,multihover__LABEL,54
54,multiclick__GRAPHIC,55
55,contextmenu__TEXT,56
56,scroll__LISTING,57
57,hover__BUTTON,58
58,multihover__SELECTION,59
59,press__BASIC,60
60,scroll__BUTTON,61
61,scroll__LABEL,62
62,select__KBD,63
63,multipress__INPUT,64
64,multiscroll__INPUT,65
65,select__SECTION,66
66,click__DIV,67
67,multiscroll__TEXT,68
68,multiscroll__BASIC,69
69,click__KBD,70
70,hover__BASIC,71
71,click__GRAPHIC,72
72,multiscroll__GRAPHIC,73
73,scroll__SECTION,74
74,multipress__BASIC,75
75,multihover__DIV,76
76,select__BASIC,77
77,click__TEXT,78
78,click__SELECTION,79
79,scroll__BASIC,80
80,multiclick__BASIC,81
81,click__BASIC,82
82,dblclick__DIV,83
83,hover__LISTING,84
84,dblclick__INPUT,85
85,multipress__SPAN,86
86,scroll__HEADING,87
87,multiscroll__SELECTION,88
88,select__SPAN,89
89,multiclick__BUTTON,90
90,click__TABLE,91
91,multipress__BUTTON,92
92,multihover__GRAPHIC,93
93,click__BUTTON,94
94,select__TABLE,95
95,multiclick__TEXT,96
96,dblclick__TEXT,97
97,select__LABEL,98
98,multiscroll__SECTION,99
99,select__GRAPHIC,100
100,press__SELECTION,101
101,multihover__LISTING,102
102,hover__GRAPHIC,103
103,click__LABEL,104
104,scroll__GRAPHIC,105
105,select__SELECTION,106
106,hover__HEADING,107
107,multiscroll__HEADING,108
108,select__TEXT,109
109,change__INPUT,110
110,multiclick__TABLE,111
111,multihover__INPUT,112
112,dblclick__GRAPHIC,113
