,Original_String,New_Number
0,scroll__SELECTION,1
1,contextmenu__GRAPHIC,2
2,multiclick__TABLE,3
3,multihover__DIV,4
4,select__DIV,5
5,hover__KBD,6
6,dblclick__INPUT,7
7,click__HEADING,8
8,dblclick__HEADING,9
9,select__KBD,10
10,multihover__GRAPHIC,11
11,scroll__HEADING,12
12,click__DIV,13
13,multiclick__SECTION,14
14,scroll__BUTTON,15
15,select__INPUT,16
16,press__SELECTION,17
17,hover__GRAPHIC,18
18,multiclick__HEADING,19
19,dblclick__TABLE,20
20,select__BASIC,21
21,multiscroll__GRAPHIC,22
22,scroll__GRAPHIC,23
23,hover__BASIC,24
24,multihover__SPAN,25
25,click__KBD,26
26,multiscroll__HEADING,27
27,scroll__TEXT,28
28,contextmenu__SPAN,29
29,multiclick__LABEL,30
30,multihover__BUTTON,31
31,multiclick__SELECTION,32
32,click__TABLE,33
33,click__TEXT,34
34,press__BASIC,35
35,multihover__LABEL,36
36,change__INPUT,37
37,multiscroll__TABLE,38
38,multipress__BUTTON,39
39,scroll__DIV,40
40,multihover__LISTING,41
41,press__INPUT,42
42,select__LABEL,43
43,dblclick__GRAPHIC,44
44,multiclick__BASIC,45
45,multipress__INPUT,46
46,click__SPAN,47
47,press__DIV,48
48,multihover__SELECTION,49
49,hover__SECTION,50
50,scroll__LABEL,51
51,click__GRAPHIC,52
52,multihover__BASIC,53
53,multiscroll__BUTTON,54
54,press__SPAN,55
55,select__GRAPHIC,56
56,multiclick__DIV,57
57,scroll__LISTING,58
58,multipress__BASIC,59
59,hover__TABLE,60
60,hover__TEXT,61
61,contextmenu__TEXT,62
62,hover__INPUT,63
63,click__BUTTON,64
64,scroll__TABLE,65
65,multiscroll__SECTION,66
66,multihover__SECTION,67
67,select__TABLE,68
68,multiscroll__TEXT,69
69,change__SELECTION,70
70,multiscroll__INPUT,71
71,select__SECTION,72
72,multiscroll__DIV,73
73,multiclick__KBD,74
74,multiclick__TEXT,75
75,select__SELECTION,76
76,dblclick__SECTION,77
77,scroll__KBD,78
78,multipress__SPAN,79
79,select__SPAN,80
80,select__TEXT,81
81,hover__DIV,82
82,multiscroll__SPAN,83
83,scroll__BASIC,84
84,click__BASIC,85
85,multiscroll__BASIC,86
86,multihover__TEXT,87
87,scroll__SECTION,88
88,multihover__KBD,89
89,select__HEADING,90
90,hover__HEADING,91
91,hover__LABEL,92
92,hover__LISTING,93
93,click__LABEL,94
94,multihover__HEADING,95
95,multihover__INPUT,96
96,click__INPUT,97
97,multiclick__BUTTON,98
98,multiclick__GRAPHIC,99
99,click__SECTION,100
100,hover__SPAN,101
101,dblclick__TEXT,102
102,multiclick__INPUT,103
103,multiclick__SPAN,104
104,multiscroll__SELECTION,105
105,dblclick__DIV,106
106,hover__SELECTION,107
107,scroll__INPUT,108
108,multihover__TABLE,109
109,scroll__SPAN,110
110,click__SELECTION,111
111,press__BUTTON,112
112,hover__BUTTON,113
