event_master,type,itemset,id,class,dom,user,task_val,consecutive_master_pair,consecutive_itemset_pair,up_type
hover,DIV,hover_DIV,tab-2855-6,['content-wrapper'],/DIV[1]/DIV[1]/DIV[1],1,_d7b,hover -> change,hover_DIV -> change_INPUT,DIV
change,INPUT,change_INPUT,dr_d7b,['form-control'],/DIV[1]/INPUT[1],1,_d7b,change -> multihover,change_INPUT -> multihover_DIV,INPUT
multihover,DIV,multihover_DIV,tab-2855-6,['row'],/DIV[1]/DIV[1]/DIV[1]/SECTION[1]/DIV[5]/DIV[1]/DIV[1],1,_d7b,multihover -> scroll,multihover_DIV -> scroll_DIV,DIV
scroll,DIV,scroll_DIV,tab-2855-6,['row'],/DIV[1]/DIV[1]/DIV[1]/SECTION[1]/DIV[5]/DIV[1]/DIV[1],1,_d7b,scroll -> multihover,scroll_DIV -> multihover_SPAN,DIV
multihover,SPAN,multihover_SPAN,id1_d7b,[''],/DIV[1]/LABEL[1]/SPAN[1],1,_d7b,multihover -> click,multihover_SPAN -> click_INPUT,SPAN
click,INPUT,click_INPUT,id1_d7b,[''],/DIV[1]/LABEL[2]/INPUT[1],1,_d7b,click -> multihover,click_INPUT -> multihover_DIV,INPUT
multihover,DIV,multihover_DIV,shiny-modal,['modal-header'],/DIV[1]/DIV[1]/DIV[1],1,_d7b,multihover -> click,multihover_DIV -> click_STRONG,DIV
click,STRONG,click_STRONG,shiny-modal,[''],/DIV[1]/DIV[1]/DIV[2]/P[1]/STRONG[1],1,_d7b,click -> select,click_STRONG -> select_STRONG,TEXT
select,STRONG,select_STRONG,shiny-modal,[''],/DIV[1]/DIV[1]/DIV[2]/P[1]/STRONG[1],1,_d7b,select -> dblclick,select_STRONG -> dblclick_STRONG,TEXT
dblclick,STRONG,dblclick_STRONG,shiny-modal,[''],/DIV[1]/DIV[1]/DIV[2]/P[1]/STRONG[1],1,_d7b,dblclick -> multihover,dblclick_STRONG -> multihover_DIV,TEXT
multihover,DIV,multihover_DIV,shiny-modal,['modal-body'],/DIV[1]/DIV[1]/DIV[2],1,_d7b,multihover -> hover,multihover_DIV -> hover_DIV,DIV
hover,DIV,hover_DIV,tab-2855-7,['content-wrapper'],/DIV[1]/DIV[1]/DIV[1],1,_d5b,hover -> change,hover_DIV -> change_INPUT,DIV
change,INPUT,change_INPUT,dr_d5b,['form-control'],/DIV[1]/INPUT[1],1,_d5b,change -> multihover,change_INPUT -> multihover_LABEL,INPUT
multihover,LABEL,multihover_LABEL,DataTables_Table_5_length,[''],/LABEL[1],1,_d5b,multihover -> click,multihover_LABEL -> click_SELECT,LABEL
click,SELECT,click_SELECT,DataTables_Table_5_length,[''],/LABEL[1]/SELECT[1],1,_d5b,click -> multihover,click_SELECT -> multihover_DIV,SELECTION
multihover,DIV,multihover_DIV,shiny-modal,['modal-body'],/DIV[1]/DIV[1]/DIV[2],1,_d5b,multihover -> hover,multihover_DIV -> hover_DIV,DIV
hover,DIV,hover_DIV,tab-2855-8,['content-wrapper'],/DIV[1]/DIV[1]/DIV[1],1,_d7a,hover -> change,hover_DIV -> change_INPUT,DIV
change,INPUT,change_INPUT,dr_d7a,['form-control'],/DIV[1]/INPUT[1],1,_d7a,change -> multihover,change_INPUT -> multihover_rect,INPUT
multihover,rect,multihover_rect,line7_d7a,['rangeslider-slidebox'],/DIV[1]/DIV[1]/svg[2]/g[3]/g[3]/rect[4],1,_d7a,multihover -> click,multihover_rect -> click_SPAN,GRAPHIC
click,SPAN,click_SPAN,Continent_d7a,['caret'],/DIV[1]/DIV[1]/BUTTON[1]/SPAN[1]/SPAN[1],1,_d7a,click -> multihover,click_SPAN -> multihover_DIV,SPAN
multihover,DIV,multihover_DIV,Country_d7a,['filter-option'],/DIV[1]/DIV[1]/BUTTON[1]/DIV[1],1,_d7a,multihover -> click,multihover_DIV -> click_INPUT,DIV
click,INPUT,click_INPUT,id1_d7a,[''],/DIV[1]/LABEL[2]/INPUT[1],1,_d7a,click -> multihover,click_INPUT -> multihover_SPAN,INPUT
multihover,SPAN,multihover_SPAN,bs-select-18-5,['text'],/SPAN[2],1,_d7a,multihover -> click,multihover_SPAN -> click_TD,SPAN
click,TD,click_TD,DataTables_Table_8,[''],/TBODY[1]/TR[1]/TD[2],1,_d7a,click -> select,click_TD -> select_TD,TABLE
select,TD,select_TD,DataTables_Table_8,[''],/TBODY[1]/TR[1]/TD[2],1,_d7a,select -> click,select_TD -> click_TD,TABLE
