,Original_String,New_Number
0,click__TABLE,1
1,dblclick__TEXT,2
2,hover__TABLE,3
3,hover__SELECTION,4
4,scroll__TABLE,5
5,scroll__HEADING,6
6,hover__BASIC,7
7,multiclick__SELECTION,8
8,multihover__BUTTON,9
9,select__INPUT,10
10,click__KBD,11
11,hover__DIV,12
12,multiscroll__GRAPHIC,13
13,multiscroll__DIV,14
14,contextmenu__SPAN,15
15,dblclick__GRAPHIC,16
16,hover__LABEL,17
17,click__HEADING,18
18,select__SECTION,19
19,hover__SPAN,20
20,multiscroll__SELECTION,21
21,multipress__SPAN,22
22,dblclick__INPUT,23
23,select__LABEL,24
24,multihover__LABEL,25
25,multiscroll__INPUT,26
26,click__SECTION,27
27,click__BUTTON,28
28,press__SELECTION,29
29,multipress__BUTTON,30
30,multiscroll__SPAN,31
31,scroll__LABEL,32
32,scroll__INPUT,33
33,multihover__SPAN,34
34,select__KBD,35
35,dblclick__TABLE,36
36,press__BASIC,37
37,select__TEXT,38
38,click__INPUT,39
39,click__GRAPHIC,40
40,multiscroll__HEADING,41
41,select__GRAPHIC,42
42,scroll__BASIC,43
43,multiclick__INPUT,44
44,multihover__KBD,45
45,multipress__INPUT,46
46,press__BUTTON,47
47,hover__TEXT,48
48,multipress__BASIC,49
49,change__SELECTION,50
50,scroll__SECTION,51
51,multihover__GRAPHIC,52
52,multiclick__BASIC,53
53,multiclick__SECTION,54
54,multihover__INPUT,55
55,scroll__KBD,56
56,select__DIV,57
57,contextmenu__GRAPHIC,58
58,click__TEXT,59
59,multihover__SECTION,60
60,change__INPUT,61
61,scroll__DIV,62
62,click__SPAN,63
63,multiclick__SPAN,64
64,multiclick__HEADING,65
65,multiclick__KBD,66
66,scroll__BUTTON,67
67,multiclick__TEXT,68
68,multiscroll__BASIC,69
69,scroll__GRAPHIC,70
70,multiclick__LABEL,71
71,select__SELECTION,72
72,select__BASIC,73
73,multihover__SELECTION,74
74,dblclick__HEADING,75
75,hover__GRAPHIC,76
76,scroll__UL,77
77,dblclick__SECTION,78
78,press__DIV,79
79,click__SELECTION,80
80,select__TABLE,81
81,hover__INPUT,82
82,hover__KBD,83
83,multiscroll__TEXT,84
84,multihover__HEADING,85
85,multihover__DIV,86
86,dblclick__DIV,87
87,multiclick__TABLE,88
88,hover__BUTTON,89
89,multiscroll__SECTION,90
90,multiscroll__TABLE,91
91,hover__SECTION,92
92,multiscroll__BUTTON,93
93,press__SPAN,94
94,scroll__SPAN,95
95,multihover__TABLE,96
96,select__HEADING,97
97,multihover__BASIC,98
98,click__DIV,99
99,click__BASIC,100
100,multiclick__DIV,101
101,hover__HEADING,102
102,multiclick__BUTTON,103
103,scroll__SELECTION,104
104,select__SPAN,105
105,click__LABEL,106
106,press__INPUT,107
107,scroll__TEXT,108
108,contextmenu__TEXT,109
109,multiclick__GRAPHIC,110
110,multihover__TEXT,111
